Antibio	GENE
RIF	glpK
RIF	lpqB
RIF	mtrA
RIF	mtrB
RIF	nusG
RIF	rpoB
RIF	rpoA
RIF	rpoC
RIF	Rv2752c
RIF	Rv2477c
RIF	Rv1129c
PZA	pncA
PZA	rpsA
PZA	panD
PZA	clpC1
PZA	Rv1258c
PZA	PPE35
PZA	Rv3236c
PZA	sigE
INH	dnaA
INH	glpK
INH	ahpC
INH	hadA
INH	katG
INH	inhA
INH	mshA
INH	ndh
INH	Rv0010c
INH	Rv1129c
INH	Rv1258c
INH	Rv2752c
INH	fabG1
EMB	aftB
EMB	embA
EMB	embC
EMB	embB
EMB	embR
EMB	ubiA
EMB	glpK
EMB	Rv2752c
EMB	Rv2477c
FQ	gyrA
FQ	gyrB
LFX	gyrA
LFX	gyrB
LFX	glpK
LFX	Rv2752c
LFX	Rv2477c
LFX	Rv1129c
MFX	gyrA
MFX	gyrB
MFX	glpK
MFX	Rv2752c
MFX	Rv2477c
MFX	Rv1129c
STR	bacA
STR	rrs
STR	rpsL
STR	gid
STR	glpK
STR	whiB7
STR	Rv1258c
STR	Rv2477c
BDQ	lpqB
BDQ	pepQ
BDQ	Rv0678
BDQ	mmpL5
BDQ	mmpS5
BDQ	atpE
BDQ	Rv1979c
BDQ	mtrA
BDQ	mtrB
LNZ	rplC
LNZ	rrl
LNZ	tsnR
CFZ	fbiA
CFZ	fbiB
CFZ	fbiC
CFZ	fgd1
CFZ	mmpL5
CFZ	mmpS5
CFZ	pepQ
CFZ	Rv0678
CFZ	Rv1979c
CFZ	Rv2983
DLM	fgd1
DLM	ddn
DLM	fbiA
DLM	fbiB
DLM	fbiC
DLM	Rv2983
DLM	ndh
AMK	rrs
AMK	eis
AMK	whiB7
AMK	whiB6
AMK	ccsA
AMK	bacA
AMK	Rv2477c
ETO	inhA
ETO	ethA
ETO	ethR
ETO	mshA
ETO	ndh
ETO	Rv0565c
ETO	Rv3083
ETO	fabG1
KAN	rrs
KAN	eis
KAN	whiB7
KAN	bacA
KAN	ccsA
KAN	Rv2477c
KAN	whiB6
CAP	rrs
CAP	tlyA
CAP	whiB6
CAP	ccsA
CAP	bacA
CAP	rrl
CAP	Rv2680
CAP	Rv2681
PAS	folC
PAS	thyA
PAS	dfrA
PAS	ribD
PAS	thyX
CYC	alr
CYC	ddlA
CYC	ald
CYC	cycA

